Model,mean_test_score,mean_fit_time,mean_score_time,values,params
SVC,0.6374339259971168,12.62837336063385,0.03502058982849121,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6374339259971168,15.295181965827942,0.0440960168838501,"[ 0.63309353  0.69544365  0.60336538  0.64663462  0.59615385  0.66346154
  0.54086538  0.66346154  0.64663462  0.68509615]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6218164344065353,12.933945727348327,0.03295016288757324,"[ 0.65947242  0.69064748  0.61057692  0.60096154  0.59615385  0.63701923
  0.56730769  0.65865385  0.61778846  0.57932692]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6215761653051417,12.384476137161254,0.03305494785308838,"[ 0.65947242  0.69544365  0.61057692  0.60096154  0.59375     0.63701923
  0.5625      0.65625     0.62740385  0.57211538]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6215761653051417,12.01714379787445,0.0324573278427124,"[ 0.66426859  0.69544365  0.60817308  0.59375     0.59615385  0.63942308
  0.55528846  0.66105769  0.61298077  0.58894231]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6189332051898125,11.766902756690978,0.03241164684295654,"[ 0.66426859  0.69064748  0.60576923  0.59615385  0.61538462  0.625
  0.55769231  0.64903846  0.60576923  0.57932692]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.618692936088419,11.890855932235718,0.032057762145996094,"[ 0.6618705   0.6882494   0.60336538  0.59855769  0.59855769  0.61778846
  0.56730769  0.65144231  0.63221154  0.56730769]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6177318596828448,13.86054093837738,0.043410634994506835,"[ 0.65947242  0.68345324  0.61057692  0.59375     0.59855769  0.625
  0.56971154  0.66105769  0.62019231  0.55528846]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.617011052378664,11.899850940704345,0.032092833518981935,"[ 0.6618705   0.6882494   0.60336538  0.59855769  0.59855769  0.61778846
  0.56730769  0.63461538  0.63221154  0.56730769]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.617011052378664,13.088147616386413,0.03600263595581055,"[ 0.6618705   0.69784173  0.60336538  0.59375     0.61298077  0.61057692
  0.57932692  0.63221154  0.61298077  0.56490385]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.616530514175877,11.827565813064576,0.03231689929962158,"[ 0.65947242  0.69064748  0.60576923  0.59615385  0.58413462  0.61778846
  0.56971154  0.64182692  0.625       0.57451923]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6162902450744834,11.848722791671753,0.032308435440063475,"[ 0.65947242  0.68585132  0.60817308  0.59855769  0.59855769  0.61778846
  0.56971154  0.62980769  0.625       0.56971154]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6155694377703027,11.810670733451843,0.03242602348327637,"[ 0.65947242  0.67865707  0.60576923  0.59615385  0.58413462  0.61778846
  0.5625      0.66105769  0.61778846  0.57211538]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.1, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6146083613647285,12.404301738739013,0.03270027637481689,"[ 0.65707434  0.69064748  0.60576923  0.59615385  0.59615385  0.61778846
  0.5625      0.63221154  0.61778846  0.56971154]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 100000}"
